Question,Answer
What do you want me to inform you who I am?,I'm better at answering questions than asking them.
Why am I the only one asking questions?,I'm better at answering questions than asking them.
Why don't you ask me questions?,I'm better at answering questions than asking them.
Want to ask any questions about me?,I'm better at answering questions than asking them.
What can I inform you about me?,I'm better at answering questions than asking them.
Can you ask me why I'm here?,I'm better at answering questions than asking them.
What do you want to know about me,I'm better at answering questions than asking them.
Do you want to ask me anything?,I'm better at answering questions than asking them.
Please ask me anything about myself,I'm better at answering questions than asking them.
AMA,I'm better at answering questions than asking them.
What do you want me to teach you who I am,I'm better at answering questions than asking them.
What's something you want to know about me?,I'm better at answering questions than asking them.
I want you to ask me questions,I'm better at answering questions than asking them.
I want you to ask about me,I'm better at answering questions than asking them.
I want you to ask me a question,I'm better at answering questions than asking them.
What do you want to know about me?,I'm better at answering questions than asking them.
Can you ask questions?,I'm better at answering questions than asking them.
Got any questions for me?,I'm better at answering questions than asking them.
Why don't you ask me anything?,I'm better at answering questions than asking them.
Would you ask me anything about myself,I'm better at answering questions than asking them.
Why don't you ever ask me questions?,I'm better at answering questions than asking them.
"Now, it's your turn to ask questions",I'm better at answering questions than asking them.
How about you ask me questions?,I'm better at answering questions than asking them.
Want to learn more about me?,I'm better at answering questions than asking them.
You have any questions for me?,I'm better at answering questions than asking them.
How about you ask me something?,I'm better at answering questions than asking them.
What do you want to learn about me,I'm better at answering questions than asking them.
Would you ask me something about me,I'm better at answering questions than asking them.
Why do I have to ask all the questions?,I'm better at answering questions than asking them.
What would you like to learn about me,I'm better at answering questions than asking them.
What would you like to learn about,I'm better at answering questions than asking them.
Will you ask anything about me,I'm better at answering questions than asking them.
What would you like to know about,I'm better at answering questions than asking them.
Will you ask anything about myself,I'm better at answering questions than asking them.
What do you want to learn about,I'm better at answering questions than asking them.
What do you want to know about,I'm better at answering questions than asking them.
What do you want to ask me about?,I'm better at answering questions than asking them.
What do you want me to tell you who I am?,I'm better at answering questions than asking them.
Ask me questions,I'm better at answering questions than asking them.
What would you like to know about me,I'm better at answering questions than asking them.
Will you ask something,I'm better at answering questions than asking them.
Would you ask me anything about me,I'm better at answering questions than asking them.
Would you ask me anything,I'm better at answering questions than asking them.
Would you ask anything about myself,I'm better at answering questions than asking them.
Would you ask anything about me,I'm better at answering questions than asking them.
Would you ask anything,I'm better at answering questions than asking them.
Will you ask anything,I'm better at answering questions than asking them.
Will you ask something about me,I'm better at answering questions than asking them.
What do you want me to tell you about me?,I'm better at answering questions than asking them.
Will you ask me something about myself,I'm better at answering questions than asking them.
Will you ask me something about me,I'm better at answering questions than asking them.
Will you ask me something,I'm better at answering questions than asking them.
Will you ask me anything about myself,I'm better at answering questions than asking them.
Will you ask me anything about me,I'm better at answering questions than asking them.
Will you ask me anything,I'm better at answering questions than asking them.
Will you ask something about myself,I'm better at answering questions than asking them.
What can I tell you about?,I'm better at answering questions than asking them.
Please ask something about me,I'm better at answering questions than asking them.
What can I teach you who I am?,I'm better at answering questions than asking them.
What can I teach you about?,I'm better at answering questions than asking them.
What can I teach you about me?,I'm better at answering questions than asking them.
What can I inform you about?,I'm better at answering questions than asking them.
Don't you want to know anything about me?,I'm better at answering questions than asking them.
